,Administrative,Administrative_Duration,Informational,Informational_Duration,ProductRelated,ProductRelated_Duration,BounceRates,ExitRates,PageValues,SpecialDay,Month,OperatingSystems,Browser,Region,TrafficType,Weekend,Revenue,Returning_Visitor
3214,0.0,0.0,0.0,0.0,15.0,450.2,0.0,0.021904762,0.0,0.0,5,2,2,5,2,0,0,1
3215,4.0,210.5,0.0,0.0,131.0,2749.058333,0.009090909,0.017682257,8.960896465,0.0,5,2,2,2,1,0,0,1
3216,2.0,36.4,0.0,0.0,75.0,1959.304762,0.005479451999999999,0.027146119,0.0,0.0,5,2,2,2,4,0,0,1
3217,3.0,69.16666667,0.0,0.0,35.0,869.0611111,0.0,0.00617284,0.0,1.0,5,2,2,1,2,0,0,1
3218,0.0,0.0,0.0,0.0,25.0,1320.5,0.0,0.030666667,0.0,1.0,5,2,3,1,1,0,0,1
3220,6.0,111.0,0.0,0.0,13.0,522.0,0.0,0.011111111000000002,36.65444444,0.0,5,2,2,2,2,0,1,0
3221,4.0,20.0,0.0,0.0,57.0,1008.916667,0.0035087720000000003,0.029239766,5.3039999999999985,0.0,5,2,3,2,5,1,0,1
3222,1.0,46.0,0.0,0.0,17.0,931.0,0.027777778,0.062962963,0.0,0.0,5,3,2,1,5,0,0,1
3226,1.0,7.0,0.0,0.0,26.0,933.3333332999997,0.008,0.028,1.84752,0.0,5,2,2,1,5,0,0,1
3229,2.0,55.0,0.0,0.0,16.0,1851.5,0.023529412000000003,0.041176471,0.0,0.0,5,2,3,1,1,0,0,1
3232,0.0,0.0,0.0,0.0,20.0,457.58333330000005,0.022222222000000003,0.044444444000000013,0.0,0.0,5,2,2,5,4,1,0,1
3233,2.0,15.0,0.0,0.0,33.0,2081.5,0.0,0.017142857,0.0,1.0,5,2,3,1,3,0,0,1
3234,2.0,93.0,3.0,808.5,33.0,1310.472222,0.018518519,0.044312169000000005,0.0,1.0,5,2,2,5,4,0,0,1
3235,4.0,73.0,0.0,0.0,34.0,1001.166667,0.0,0.017959184,0.0,0.0,5,2,3,4,3,1,0,1
3236,6.0,77.0,0.0,0.0,42.0,3436.066667,0.000757576,0.019480519,0.0,0.0,5,2,2,3,4,0,0,1
3237,1.0,260.0,0.0,0.0,11.0,198.1666667,0.0,0.008333333,0.0,0.0,5,2,2,5,2,0,0,0
3238,2.0,13.0,0.0,0.0,17.0,296.2333333,0.0125,0.029166667,0.0,0.0,5,1,1,2,3,1,0,1
3239,2.0,33.0,0.0,0.0,13.0,1649.0,0.0,0.033333333,0.0,0.0,5,2,2,1,2,0,0,1
3241,0.0,0.0,0.0,0.0,6.0,161.0,0.0,0.066666667,0.0,1.0,5,2,2,1,4,0,0,1
3242,0.0,0.0,0.0,0.0,39.0,2643.333333,0.0,0.012820513,0.0,1.0,5,4,1,3,4,0,0,1
3243,3.0,42.0,0.0,0.0,10.0,706.0,0.0,0.011111111000000002,0.0,0.0,5,2,2,5,1,1,0,1
3244,7.0,85.52916667,3.0,255.5,45.0,2996.4875,0.014814815,0.02628108,2.0905,0.0,5,2,2,3,3,0,0,1
3245,0.0,0.0,0.0,0.0,5.0,108.0,0.0,0.04,0.0,0.0,5,4,1,3,4,0,0,1
3246,4.0,191.0,0.0,0.0,45.0,2171.1745920000008,0.0,0.017931489,0.0,1.0,5,2,3,5,5,0,0,1
3247,0.0,0.0,0.0,0.0,23.0,255.6388889,0.0,0.005454545,0.0,0.0,5,3,2,4,2,0,0,1
3248,8.0,186.5,0.0,0.0,57.0,1925.102381,0.005,0.0175,23.4154,0.0,5,2,2,3,5,0,0,1
3249,0.0,0.0,0.0,0.0,8.0,202.3333333,0.0,0.01875,0.0,0.0,5,3,2,1,5,1,0,1
3251,4.0,47.0,0.0,0.0,26.0,380.1666667,0.0,0.015873016,0.0,0.0,5,4,1,1,1,0,0,1
3252,0.0,0.0,0.0,0.0,16.0,79.0,0.025,0.0375,0.0,0.0,5,2,2,2,4,1,0,1
3254,1.0,10.0,2.0,108.0,89.0,2114.083333,0.0,0.011685393,0.0,1.0,5,4,2,1,4,0,0,1
3256,0.0,0.0,0.0,0.0,15.0,894.0,0.0,0.015384615,0.0,0.0,5,2,2,5,4,0,0,1
3257,0.0,0.0,0.0,0.0,36.0,925.8333332999997,0.041666667,0.071296296,0.0,1.0,5,2,2,5,5,0,0,1
3259,1.0,6.0,0.0,0.0,2.0,85.0,0.0,0.066666667,0.0,0.0,5,2,3,1,2,0,0,1
3261,2.0,32.0,0.0,0.0,7.0,164.5,0.0,0.008333333,0.0,1.0,5,2,2,1,4,0,0,1
3266,4.0,61.0,0.0,0.0,117.0,1569.866667,0.003418803,0.011870845,49.95438177,0.0,5,2,2,1,3,0,0,1
3267,0.0,0.0,1.0,1.5,43.0,1368.484848,0.015909091,0.053636364000000006,0.0,1.0,5,1,1,1,2,0,0,1
3271,7.0,89.9,3.0,84.0,58.0,2787.25,0.0,0.007715618,98.04262564,0.0,5,2,2,1,2,0,0,1
3273,0.0,0.0,0.0,0.0,11.0,297.25,0.0,0.022222222000000003,0.0,0.0,5,2,2,3,1,0,0,1
3274,0.0,0.0,0.0,0.0,27.0,352.0833333,0.014814815,0.022222222000000003,0.0,0.0,5,3,2,3,3,0,0,1
3275,0.0,0.0,0.0,0.0,4.0,26.0,0.0,0.05,0.0,0.0,5,4,1,1,1,0,0,1
3276,1.0,27.0,0.0,0.0,15.0,1486.666667,0.0,0.013809523999999998,0.0,0.0,5,1,1,1,1,1,0,1
3277,5.0,162.5,1.0,11.0,82.0,1164.099635,0.010714286000000002,0.01668402,0.0,0.0,5,3,2,5,2,0,0,1
3278,0.0,0.0,0.0,0.0,18.0,1360.5,0.016666667,0.040740741,0.0,1.0,5,2,2,5,3,0,0,1
3279,0.0,0.0,0.0,0.0,6.0,156.0,0.0,0.016666667,0.0,1.0,5,2,2,5,1,0,0,1
3280,3.0,204.75,0.0,0.0,46.0,1942.933333,0.010119048,0.013333333,0.0,0.0,5,1,1,1,4,0,0,1
3282,0.0,0.0,0.0,0.0,10.0,133.8333333,0.0,0.020779221,0.0,1.0,5,3,2,4,5,0,0,1
3284,2.0,32.0,0.0,0.0,30.0,1407.5,0.006451613,0.02516129,15.51193548,0.0,5,2,2,1,5,0,1,1
3286,3.0,112.0,0.0,0.0,20.0,1187.5,0.0,0.016666667,26.8752,0.0,5,2,2,1,4,0,0,1
3287,0.0,0.0,0.0,0.0,40.0,1090.566667,0.018392857,0.041198413,0.0,0.0,5,2,3,1,5,0,0,1
3289,6.0,91.5,0.0,0.0,9.0,115.5,0.018181818,0.018181818,0.0,0.0,5,3,2,5,3,1,0,1
3290,0.0,0.0,0.0,0.0,8.0,463.0,0.0,0.025,0.0,0.0,5,2,2,3,2,0,0,1
3292,0.0,0.0,0.0,0.0,42.0,840.8333332999997,0.0,0.019047619,0.0,0.0,5,2,2,2,3,0,0,1
3293,9.0,174.475,0.0,0.0,43.0,895.9731685,0.0,0.009929078,30.66624113,0.0,5,1,2,5,2,0,1,1
3294,0.0,0.0,0.0,0.0,7.0,76.5,0.007142857,0.066190476,0.0,0.0,5,3,2,1,1,0,0,1
3296,1.0,9.0,5.0,86.0,26.0,466.5,0.0,0.006666666999999999,0.0,0.0,5,2,2,1,4,0,0,1
3297,1.0,26.0,0.0,0.0,11.0,345.1666667,0.022222222000000003,0.008888889,0.0,0.0,5,1,1,4,3,0,0,1
3298,0.0,0.0,0.0,0.0,8.0,203.0,0.0125,0.0375,0.0,0.0,5,2,2,5,2,1,0,1
3299,0.0,0.0,0.0,0.0,20.0,869.8,0.011111111000000002,0.033333333,0.0,0.0,5,3,2,4,2,1,0,1
3300,1.0,41.0,0.0,0.0,6.0,68.5,0.0,0.033333333,0.0,1.0,5,1,1,1,2,0,0,1
3301,0.0,0.0,0.0,0.0,57.0,980.8333332999997,0.007142857,0.044642857,0.0,1.0,5,2,2,3,5,0,0,1
3302,0.0,0.0,0.0,0.0,45.0,1438.722222,0.004545455,0.027727273,0.0,1.0,5,4,2,3,4,0,0,1
3303,3.0,40.0,0.0,0.0,10.0,423.6666667,0.0,0.018181818,0.0,0.0,5,4,2,1,5,1,0,1
3304,0.0,0.0,0.0,0.0,8.0,185.5,0.025,0.0375,0.0,0.0,5,1,1,3,2,1,0,1
3306,0.0,0.0,0.0,0.0,13.0,421.1666667,0.0,0.028205128,0.0,1.0,5,1,1,1,2,0,0,1
3307,0.0,0.0,0.0,0.0,7.0,578.2,0.0,0.033333333,58.488,0.0,5,2,3,3,5,1,1,1
3309,1.0,88.0,0.0,0.0,11.0,522.6666667,0.0,0.022222222000000003,0.0,0.0,5,3,3,1,4,0,0,1
3310,2.0,86.0,0.0,0.0,36.0,1720.4166670000004,0.0,0.00995086,0.0,1.0,5,2,3,4,1,0,0,1
3311,0.0,0.0,0.0,0.0,22.0,2464.9,0.003030303,0.051515152,0.0,1.0,5,2,2,5,1,0,0,1
3312,0.0,0.0,0.0,0.0,8.0,240.0,0.0,0.028571429,58.788,1.0,5,2,2,3,2,0,1,0
3314,0.0,0.0,2.0,15.0,15.0,328.4166667,0.0,0.037647059,0.0,0.0,5,2,2,1,4,1,0,1
3315,3.0,249.0,0.0,0.0,8.0,1046.5,0.04,0.04,0.0,0.0,5,1,1,5,4,1,0,0
3316,1.0,20.0,0.0,0.0,8.0,268.0,0.0,0.025925926,0.0,0.0,5,3,2,1,4,0,0,1
3317,0.0,0.0,0.0,0.0,14.0,354.25,0.0,0.015384615,124.032,0.0,5,1,1,5,5,0,1,0
3318,3.0,100.0,0.0,0.0,8.0,127.6666667,0.0,0.005,0.0,0.0,5,3,2,4,2,0,0,1
3320,1.0,32.0,0.0,0.0,9.0,455.0,0.0,0.022222222000000003,18.65333333,0.0,5,2,2,5,2,1,1,1
3321,5.0,90.875,1.0,15.0,58.0,2153.71859,0.007526881999999999,0.012156298,3.97647235,0.0,5,3,2,1,2,1,0,1
3322,0.0,0.0,0.0,0.0,8.0,166.25,0.0,0.0125,0.0,0.0,5,2,3,1,4,1,0,1
3323,1.0,10.0,0.0,0.0,11.0,578.0,0.0,0.011688312,0.0,0.0,5,1,2,1,1,0,0,1
3324,3.0,110.5,0.0,0.0,10.0,284.0,0.0,0.008333333,0.0,1.0,5,1,3,1,5,1,0,0
3325,0.0,0.0,0.0,0.0,2.0,130.0,0.0,0.05,0.0,0.0,5,4,1,1,3,0,0,1
3326,4.0,14.0,0.0,0.0,28.0,341.35,0.007142857,0.028571429,0.0,0.0,5,4,1,2,4,0,0,1
3327,0.0,0.0,0.0,0.0,4.0,40.5,0.0,0.05,0.0,0.0,5,4,1,1,3,0,0,1
3328,8.0,144.5,4.0,181.7222222,52.0,2826.790048,0.007258065,0.030060764,0.0,0.0,5,3,2,3,5,1,0,1
3329,6.0,211.0,1.0,58.0,41.0,2078.666667,0.008333333,0.028125,0.0,0.0,5,2,2,5,5,0,0,1
3332,1.0,47.0,0.0,0.0,19.0,881.1666667000003,0.0,0.005882353000000001,0.0,0.0,5,2,2,5,4,0,0,0
3333,0.0,0.0,0.0,0.0,30.0,950.8333332999997,0.006666666999999999,0.02,0.0,0.0,5,2,3,5,4,0,0,1
3334,2.0,98.0,0.0,0.0,44.0,2279.222222,0.001111111,0.012301587,7.0182,0.0,5,3,2,5,4,0,0,1
3335,0.0,0.0,0.0,0.0,16.0,729.0,0.0125,0.040625,0.0,0.0,5,2,3,1,3,0,0,1
3336,10.0,207.8666667,0.0,0.0,8.0,217.8666667,0.0,0.004166667,0.0,1.0,5,2,3,1,5,0,0,0
3337,0.0,0.0,0.0,0.0,12.0,354.0,0.0,0.018181818,0.0,0.0,5,2,3,1,2,1,0,0
3339,0.0,0.0,0.0,0.0,4.0,104.0,0.0,0.05,0.0,0.0,5,2,3,2,2,0,0,1
3340,1.0,6.0,1.0,7.0,25.0,591.8928571,0.0,0.020833333,165.62046669999995,0.0,5,1,1,5,4,1,1,1
3342,2.0,108.0,0.0,0.0,8.0,316.5,0.033333333,0.040740741,0.0,0.0,5,3,2,3,5,1,0,1
3343,0.0,0.0,0.0,0.0,25.0,903.7,0.036000000000000004,0.059393939000000014,0.0,0.0,5,2,2,3,4,0,0,1
3345,0.0,0.0,3.0,341.3333333,59.0,2946.6,0.0032786890000000004,0.007962529,9.380377049,0.0,5,1,1,5,2,1,1,1
3346,0.0,0.0,0.0,0.0,29.0,740.5,0.0,0.009315376,0.0,0.0,5,1,1,2,4,0,0,1
3348,8.0,105.56442309999998,5.0,249.0,128.0,3158.5614760000008,0.005474453000000001,0.005815392,5.472974626,0.0,5,1,1,5,5,0,0,1
3349,0.0,0.0,0.0,0.0,2.0,55.0,0.0,0.05,0.0,1.0,5,3,2,1,5,0,0,1
3350,5.0,20.0,0.0,0.0,56.0,441.2166667,0.008474576,0.019322034,0.0,1.0,5,2,2,2,3,0,0,1
3353,0.0,0.0,0.0,0.0,12.0,312.6666667,0.0,0.033333333,0.0,0.0,5,1,1,1,4,0,0,1
3354,0.0,0.0,0.0,0.0,8.0,56.33333333,0.0,0.0125,0.0,1.0,5,2,2,1,4,1,0,1
3355,2.0,50.5,0.0,0.0,14.0,689.3833333,0.0,0.013333333,100.7776,0.0,5,2,2,3,2,0,1,1
3356,0.0,0.0,0.0,0.0,15.0,614.3333332999998,0.007692308,0.025641026,0.0,0.0,5,1,1,1,5,0,0,1
3357,3.0,30.5,0.0,0.0,23.0,422.73030300000005,0.008333333,0.0125,0.0,0.0,5,2,2,1,4,0,0,1
3358,0.0,0.0,0.0,0.0,24.0,485.2839744,0.0049382720000000005,0.039283154,0.0,1.0,5,2,2,2,4,1,0,1
3360,3.0,105.0,0.0,0.0,34.0,603.7071429,0.0,0.003714286,14.75710476,0.0,5,1,1,1,3,0,1,1
3362,0.0,0.0,0.0,0.0,6.0,600.0,0.0,0.033333333,0.0,0.0,5,1,1,4,3,0,0,1
3363,0.0,0.0,0.0,0.0,8.0,82.83333333,0.0,0.00625,0.0,0.0,5,1,1,1,4,1,0,1
3364,5.0,99.16666667,1.0,27.0,33.0,483.26666669999986,0.002777778,0.009126984,0.0,1.0,5,4,3,1,2,0,0,1
3366,0.0,0.0,0.0,0.0,12.0,272.6666667,0.0,0.009090909,0.0,0.0,5,3,2,1,4,0,0,0
3368,1.0,43.0,1.0,0.0,3.0,65.0,0.0,0.04,0.0,1.0,5,2,2,1,4,0,0,1
3370,7.0,195.875,2.0,0.0,68.0,1725.870671,0.0032,0.018348148,16.16701333,0.0,5,2,2,5,2,1,0,1
3371,0.0,0.0,0.0,0.0,27.0,359.0,0.0,0.020512821,0.0,0.0,5,1,1,5,2,1,0,1
3372,4.0,204.5,0.0,0.0,12.0,159.0,0.0,0.026666667,0.0,0.0,5,1,1,4,2,1,0,0
3373,0.0,0.0,0.0,0.0,24.0,676.1666667000002,0.0,0.008333333,2.705833333,0.0,5,2,2,5,4,1,1,1
3374,3.0,94.0,0.0,0.0,19.0,707.2666667000002,0.0,0.035714286,0.0,0.0,5,2,2,4,2,0,0,1
3375,1.0,255.0,0.0,0.0,35.0,1178.0,0.035294118,0.064705882,0.0,1.0,5,3,2,3,4,1,0,1
3376,0.0,0.0,0.0,0.0,6.0,56.0,0.0,0.033333333,0.0,1.0,5,2,2,1,5,0,0,1
3377,1.0,5.0,1.0,292.0,35.0,1916.9,0.0,0.015555556000000003,11.19189333,1.0,5,2,3,5,3,0,1,1
3378,0.0,0.0,1.0,12.0,57.0,2773.166667,0.015517241,0.050862069,8.325206897000001,0.0,5,2,2,4,5,0,0,1
3379,0.0,0.0,0.0,0.0,18.0,297.3,0.0,0.011764706000000002,0.0,0.0,5,1,2,1,4,0,0,1
3380,1.0,4.0,0.0,0.0,18.0,631.6666667000002,0.0,0.027777778,56.32466667,0.0,5,2,2,1,3,0,1,1
3381,0.0,0.0,0.0,0.0,14.0,1340.75,0.0,0.015384615,57.58892308,1.0,5,4,1,3,4,0,1,0
3383,0.0,0.0,0.0,0.0,7.0,76.0,0.0,0.071428571,0.0,0.0,5,2,2,5,3,0,0,1
3384,2.0,43.0,0.0,0.0,17.0,434.0,0.0,0.010526316,0.0,0.0,5,2,2,5,1,0,0,1
3385,0.0,0.0,0.0,0.0,4.0,464.6666667,0.0,0.025,0.0,1.0,5,3,2,1,1,0,0,1
3387,0.0,0.0,0.0,0.0,24.0,530.0,0.0,0.01,0.0,0.0,5,2,3,3,4,1,0,1
3388,5.0,113.5,0.0,0.0,24.0,495.2738095,0.016666667,0.037777778,0.0,0.0,5,3,2,5,5,0,0,1
3389,0.0,0.0,0.0,0.0,62.0,2232.45,0.008196721,0.039726776,0.0,1.0,5,2,2,5,4,0,0,1
3390,1.0,3.0,0.0,0.0,5.0,151.0,0.0,0.016666667,0.0,0.0,5,1,1,1,2,0,0,1
3391,0.0,0.0,0.0,0.0,2.0,49.0,0.0,0.033333333,0.0,0.0,5,3,2,3,3,0,0,1
3392,6.0,220.0,2.0,327.0,50.0,1845.166667,0.011111111000000002,0.022376543,10.09862222,0.0,5,2,2,3,1,0,0,1
3393,0.0,0.0,1.0,19.0,27.0,1523.05,0.0,0.001851852,22.12888889,0.0,5,1,1,1,4,0,1,1
3395,2.0,37.33333333,0.0,0.0,31.0,1552.883333,0.0,0.008333333,0.0,0.0,5,2,2,3,2,0,0,1
3396,1.0,29.0,0.0,0.0,25.0,381.35714289999993,0.0,0.004166667,0.0,1.0,5,2,2,1,2,0,0,0
3399,1.0,63.0,0.0,0.0,9.0,265.25,0.0,0.004,0.0,0.0,5,1,1,4,2,1,0,1
3400,0.0,0.0,0.0,0.0,24.0,657.6666667000002,0.013636364,0.034090909,0.0,1.0,5,2,3,1,3,0,0,1
3401,2.0,7.0,0.0,0.0,3.0,11.0,0.0,0.033333333,0.0,0.0,5,4,3,1,4,0,0,1
3402,0.0,0.0,0.0,0.0,25.0,1157.452381,0.012,0.027111111,15.3956,0.0,5,1,1,3,2,0,0,1
3403,0.0,0.0,0.0,0.0,17.0,1673.6538460000004,0.039215686,0.05122549,0.0,0.0,5,3,2,3,4,0,0,1
3404,0.0,0.0,0.0,0.0,16.0,355.5,0.0,0.014285714,11.13171429,0.0,5,3,2,1,3,0,1,0
3406,0.0,0.0,0.0,0.0,11.0,123.0,0.0,0.036363636,0.0,0.0,5,2,2,4,5,0,0,1
3407,15.0,168.429198,2.0,10.0,98.0,2806.829918,0.01314475,0.039029125,0.546128304,0.0,5,2,2,3,2,1,0,1
3408,2.0,5.0,0.0,0.0,3.0,32.0,0.0,0.066666667,0.0,1.0,5,2,2,2,5,1,0,1
3409,3.0,11.66666667,0.0,0.0,39.0,557.2452381,0.028947368,0.052076023,0.0,1.0,5,3,2,3,5,0,0,1
3410,7.0,53.25,0.0,0.0,42.0,650.0333333,0.004347826,0.006521739,0.0,0.0,5,2,2,2,4,0,0,1
3411,4.0,132.0,1.0,23.0,24.0,1614.22619,0.0,0.014285714,0.0,0.0,5,2,2,1,4,0,0,1
3412,7.0,44.16666667,0.0,0.0,108.0,2973.125,0.005309735,0.020993117,0.201663717,1.0,5,2,2,3,4,1,0,1
3413,7.0,41.375,0.0,0.0,67.0,3014.290476,0.001917808,0.00781583,4.18760274,1.0,5,3,2,3,3,0,0,1
3414,1.0,24.0,0.0,0.0,54.0,801.5095238,0.00754717,0.013274933,0.0,1.0,5,1,1,1,3,0,0,1
3417,0.0,0.0,0.0,0.0,23.0,363.5,0.0,0.013043478,0.0,1.0,5,2,2,2,1,0,0,1
3419,0.0,0.0,0.0,0.0,31.0,1087.0,0.0,0.006666666999999999,0.0,0.0,5,4,2,2,2,0,0,1
3420,6.0,65.0,2.0,243.0,19.0,681.6190475999998,0.0,0.011794872,28.29538462,1.0,5,2,2,1,2,1,1,1
3421,0.0,0.0,0.0,0.0,119.0,1243.180556,0.0,0.007668207,1.809360775,0.0,5,2,2,1,2,0,0,1
3423,2.0,39.0,0.0,0.0,9.0,128.0,0.0,0.018181818,0.0,0.0,5,2,2,1,2,0,0,0
3424,2.0,7.5,0.0,0.0,63.0,1903.666667,0.008064515999999999,0.019546851,0.0,1.0,5,1,2,2,4,0,0,1
3425,1.0,25.0,0.0,0.0,14.0,397.0,0.03625,0.047395833,14.9925,0.0,5,1,1,3,3,0,1,1
3426,0.0,0.0,1.0,232.0,16.0,343.2,0.0,0.006666666999999999,0.0,1.0,5,2,2,1,2,0,0,1
3427,0.0,0.0,0.0,0.0,5.0,71.0,0.0,0.04,0.0,0.0,5,4,1,1,2,1,0,1
3428,0.0,0.0,0.0,0.0,24.0,653.0,0.008333333,0.033333333,0.0,1.0,5,4,1,5,1,0,0,1
3430,2.0,59.83333333,0.0,0.0,70.0,2509.25,0.0,0.006428571,11.28411429,0.0,5,2,2,3,1,0,1,1
3432,2.0,20.0,0.0,0.0,24.0,242.0,0.018181818,0.045454545,0.0,0.0,5,2,2,4,5,0,0,1
3433,0.0,0.0,0.0,0.0,13.0,646.7916667000002,0.005128205,0.054358974,0.0,1.0,5,1,1,2,1,0,0,1
3434,0.0,0.0,0.0,0.0,23.0,209.8333333,0.002173913,0.030434783,0.0,0.0,5,2,2,1,5,0,0,1
3435,2.0,38.0,0.0,0.0,11.0,713.0,0.0,0.016666667,113.98,0.0,5,2,2,1,2,0,1,1
3436,0.0,0.0,0.0,0.0,4.0,112.5,0.0,0.05,0.0,0.0,5,3,2,1,5,0,0,1
3437,1.0,5.0,0.0,0.0,44.0,630.3166667,0.025,0.044223485,0.0,0.0,5,2,2,5,3,0,0,1
3441,7.0,160.33333330000005,0.0,0.0,31.0,590.5166667000002,0.005208333,0.009657738,0.0,0.0,5,1,1,1,4,1,0,1
3442,2.0,42.16666667,0.0,0.0,17.0,490.5333333,0.0,0.01175,23.5144,0.0,5,2,3,5,2,0,0,1
3443,2.0,81.0,0.0,0.0,18.0,631.0,0.01,0.029,0.0,0.0,5,2,2,1,1,0,0,1
3444,0.0,0.0,0.0,0.0,6.0,916.25,0.0,0.006666666999999999,0.0,0.0,5,2,2,5,2,0,0,1
3448,5.0,119.0,0.0,0.0,49.0,1143.3485039999996,0.0,0.008595388,0.0,0.0,5,1,1,1,2,0,0,1
3449,1.0,0.0,0.0,0.0,23.0,975.75,0.0,0.05030303,16.197,0.0,5,2,2,5,5,1,0,1
3450,0.0,0.0,0.0,0.0,13.0,169.0,0.015384615,0.041538462000000005,0.0,0.0,5,1,1,5,1,0,0,1
3451,0.0,0.0,0.0,0.0,20.0,499.6666667,0.01,0.03,0.0,1.0,5,2,2,1,4,0,0,1
3452,0.0,0.0,0.0,0.0,7.0,139.5,0.0,0.028571429,0.0,0.0,5,3,2,3,2,0,0,1
3455,0.0,0.0,0.0,0.0,91.0,2058.534091,0.021348315,0.038816034,0.0,1.0,5,2,2,3,5,1,0,1
3456,0.0,0.0,0.0,0.0,15.0,1639.5,0.025,0.06875,0.0,1.0,5,2,2,1,5,0,0,1
3457,4.0,34.0,0.0,0.0,3.0,24.0,0.0,0.04,0.0,0.0,5,1,1,3,2,0,0,0
3458,0.0,0.0,0.0,0.0,11.0,720.5,0.0,0.045454545,0.0,0.0,5,4,2,2,2,0,0,1
3460,5.0,133.0,0.0,0.0,16.0,324.5,0.0,0.031481481,0.0,0.0,5,3,2,5,4,0,0,1
3464,1.0,29.5,0.0,0.0,29.0,569.1666667000002,0.0,0.01957672,12.455,0.0,5,2,2,3,2,0,1,1
3466,0.0,0.0,0.0,0.0,37.0,1669.559524,0.016190476000000002,0.051333333,0.0,0.0,5,3,2,3,1,0,0,1
3467,1.0,38.0,0.0,0.0,29.0,986.8333332999997,0.013793103,0.035057471,0.0,0.0,5,2,3,3,4,0,0,1
3468,1.0,32.33333333,1.0,56.0,62.0,2414.9,0.0,0.0022222220000000003,30.4615873,0.0,5,2,2,5,2,0,1,1
3469,0.0,0.0,0.0,0.0,24.0,330.0833333,0.0375,0.043055556,0.0,1.0,5,1,1,5,4,1,0,1
3471,1.0,74.0,0.0,0.0,21.0,744.8333332999998,0.0,0.01,0.0,0.0,5,2,2,1,2,1,0,0
3474,7.0,71.0,0.0,0.0,34.0,1540.75,0.004878049000000001,0.024390244,0.0,0.0,5,2,2,5,3,0,0,1
3475,0.0,0.0,0.0,0.0,8.0,89.5,0.0,0.05,0.0,0.0,5,2,2,1,1,0,0,1
3476,1.0,27.0,0.0,0.0,17.0,1723.0,0.0,0.003921569000000001,0.0,0.0,5,2,3,5,4,0,0,0
3477,0.0,0.0,0.0,0.0,7.0,191.0,0.0,0.028571429,0.0,0.0,5,2,3,4,2,0,0,1
3478,4.0,75.6,0.0,0.0,94.0,1576.205078,0.010752688,0.015506059,0.0,1.0,5,3,2,5,3,0,0,1
3479,0.0,0.0,2.0,23.0,15.0,506.0,0.033333333,0.06,0.0,1.0,5,2,2,1,4,0,0,1
3480,0.0,0.0,0.0,0.0,39.0,537.0,0.005128205,0.011965812,0.0,0.0,5,4,2,3,5,0,0,1
3481,2.0,32.5,0.0,0.0,12.0,239.75,0.0,0.005128205,0.0,1.0,5,2,3,1,5,0,0,0
3482,8.0,120.6666667,2.0,559.0,44.0,1470.333333,0.016,0.019207792,7.435866667000001,0.0,5,1,2,1,4,1,0,1
3483,0.0,0.0,0.0,0.0,3.0,105.25,0.0,0.044444444000000013,0.0,0.0,5,3,2,5,4,1,0,1
3486,4.0,128.5,0.0,0.0,14.0,273.25,0.0,0.0125,0.0,0.0,5,1,3,4,4,1,0,1
3487,1.0,28.0,0.0,0.0,19.0,362.0,0.0,0.005555556,0.0,0.0,5,2,2,5,5,0,0,1
3488,3.0,51.5,0.0,0.0,21.0,1623.5,0.0,0.005,49.3886,1.0,5,2,3,2,3,0,1,0
3489,2.0,57.0,1.0,4.0,35.0,1643.333333,0.010526316,0.031578947,0.0,1.0,5,2,2,1,4,0,0,1
3491,14.0,247.1363636,2.0,120.6666667,56.0,1080.266667,0.01884058,0.025355418,24.72661836,1.0,5,3,2,1,1,0,0,1
3492,0.0,0.0,0.0,0.0,12.0,152.0,0.0,0.002380952,0.0,1.0,5,3,2,1,2,1,0,1
3493,2.0,256.0,0.0,0.0,14.0,574.5,0.0,0.014285714,0.0,0.0,5,3,3,5,5,0,0,0
3494,0.0,0.0,0.0,0.0,11.0,142.41666669999995,0.0,0.036363636,0.0,0.0,5,2,2,1,2,0,0,1
3495,2.0,37.5,0.0,0.0,55.0,1420.472496,0.001212121,0.005750251,0.0,1.0,5,1,1,3,4,0,0,1
3497,0.0,0.0,0.0,0.0,10.0,3291.0,0.02,0.058,0.0,0.0,5,3,2,1,5,0,0,1
3499,10.0,76.16666667,0.0,0.0,17.0,404.0,0.0,0.025757576,0.0,0.0,5,1,2,2,5,1,0,1
3500,4.0,202.0,0.0,0.0,28.0,714.9666667,0.014666667,0.016973138000000002,0.0,0.0,5,1,1,1,4,1,0,1
3501,0.0,0.0,0.0,0.0,25.0,527.5,0.0,0.003466667,0.0,1.0,5,2,2,1,4,0,0,1
3504,0.0,0.0,0.0,0.0,15.0,454.75,0.026666667,0.033333333,0.0,0.0,5,3,2,3,1,1,0,1
3506,0.0,0.0,3.0,29.0,41.0,1652.75,0.013636364,0.035119048,0.0,0.0,5,2,2,4,4,1,0,1
3507,0.0,0.0,0.0,0.0,7.0,239.5,0.0,0.016666667,0.0,0.0,5,3,2,1,5,1,0,0
3508,0.0,0.0,0.0,0.0,14.0,1539.0,0.015384615,0.030769231,0.0,0.0,5,2,3,2,2,0,0,1
3510,3.0,73.5,3.0,171.0,76.0,2208.788095,0.0,0.004756098,3.2003048780000003,0.0,5,4,1,5,2,1,0,1
3511,2.0,13.33333333,0.0,0.0,105.0,2062.443592,0.01220527,0.020275689,0.0,1.0,5,3,2,1,4,0,0,1
3514,0.0,0.0,0.0,0.0,7.0,604.0,0.0,0.033333333,53.988,0.0,5,2,3,3,2,0,1,0
